species.code,genus.species,Kingdom,Phylum,Class,Order,Family,Genus,Species,trophic.group,resolution,size,vertical.stratum,feeding.reference.supplemental.table.2,link.type
S0183,Halticus_apterus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Halticus,apterus,herbivore,species,2.65,h,20; 26,2
S0184,Lygus_gemellatus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,gemellatus,herbivore,species,5.75,h,20,2
S0185,Lygus_pratensis,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,pratensis,herbivore,species,6.55,h,20; 26,2
S0186,Lygus_rugulipennis,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,rugulipennis,omnivore,species,5.2,h,20; 26,2
S0187,Melanotrichus_flavosarsus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Melanotrichus,flavosparsus,herbivore,species,3.6,h,,
S0188,Notostira_elongata,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Notostira,elongata,herbivore,species,7.35,h,,1; 2
S0189,Orthocephalus_saltator,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Orthocephalus,saltator,herbivore,species,4.55,h,,2
S0190,Orthops_basalis,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Orthops,basalis,herbivore,species,5,h,26,2
S0191,Orthops_kalmii,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Orthops,kalmii,herbivore,species,4.4,h,,1; 2
S0192,Pachytomella_arallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Pachytomella,parallela,herbivore,species,4,h,20; 26,1; 2; 3
S0193,Plagiognathus_arbustorum,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Plagiognathus,arbustorum,omnivore,species,4,h,,2; 5.4
S0194,Plagiognathus_chrysanthemi,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Plagiognathus,chrysanthemi,omnivore,species,3.6,h,20; 26,1; 2
S0195,Polymerus_nigrita,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Polymerus,nigrita,herbivore,species,4.5,h,20; 26,1
S0196,Polymerus_unifasciatus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Polymerus,unifasciatus,herbivore,species,5.9,h,20; 26,1
S0197,Stenodema_calcaratum,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Stenodema,calcaratum,herbivore,species,7.5,h,20; 26,2
S0198,Stenodema_laevigata,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Stenodema,laevigata,herbivore,species,8.4,h,20; 26,1; 2
S0199,Trigonotylus_caelestialium,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Trigonotylus,caelestialium,herbivore,species,7,h,27,1; 2
S0200,Tytthus_ygmaeus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Tytthus,pygmaeus,predator,species,2.7,g,20,5.4
S0201,Himacerus_major,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Himacerus,major,predator,species,8.25,i,28,5.4
S0202,Himacerus_mirmicoides,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Himacerus,mirmicoides,predator,species,7,g,28,5.4
S0203,Nabis_,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Nabis,0,predator,species,8,i,28,5.4
S0204,Nabis_brevis,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Nabis,brevis,predator,species,6.2,i,28,5.4
S0205,Nabis_ferus,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Nabis,ferus,predator,species,8,i,28,5.4
S0206,Nabis_pseudoferus,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,Nabis,pseudoferus,predator,species,7.5,i,28,5.4
S0207,Carpocoris_fuscispinus,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Carpocoris,fuscispinus,herbivore,species,11,h,24; 27,2
S0208,Carpocoris_purpureipennis,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Carpocoris,purpureipennis,herbivore,species,11,h,20; 24; 27,2
S0209,Dolycoris_baccarum,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Dolycoris,baccarum,herbivore,species,11,h,20; 24; 30; 27,2
S0210,Eurydema_olecareum,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Eurydema,olecareaoleracea,omnivore,species,6.5,h,30; 27,2
S0211,Graphosoma_lineatum,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,lineatum,herbivore,species,9.5,h,20; 27,2
S0212,Holcostethus_strictus,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Holcostethus,strictus,herbivore,species,9.5,h,27,2
S0213,Palomena_viridissima,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,viridissima,herbivore,species,12,h,20; 27; 30,2
S0214,Peribalus_vernalis,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Peribalus,vernalis,herbivore,species,10.25,h,27,2
S0215,Piezodorus_lituratus,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Piezodorus,lituratus,herbivore,species,11,i,19; 20; 27; 30; 31,2
S0216,Podops_inuncta,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Podops,inuncta,omnivore,species,5,g,19; 20; 27,2
S0217,Corizus_hyoscyami,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Corizus,hyoscyami,herbivore,species,9.4,h,20,2
S0218,Rhopalus_parumpunctatus,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Rhopalus,parumpunctatus,herbivore,species,6.85,h,20,1; 2
S0219,Stictopleurus_abutilon,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Stictopleurus,abutilon,herbivore,species,7.85,h,20,1; 2
S0220,Stictopleurus_unctatonervosus,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Stictopleurus,punctatonervosus,herbivore,species,7.5,h,19,1; 2
S0221,Rhyparochromus_pini,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Rhyparochromus,pini,herbivore,species,7.45,g,20; 32,3
S0222,Rhyparochromus_vulgaris,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Rhyparochromus,vulgaris,herbivore,species,7.5,g,24; 32,3
S0223,Scolopostethus_affinis,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Scolopostethus,affinis,detritivore,species,3.55,i,20; 22; 32,1; 2
S0224,Eurygaster_maura,Animalia,Arthropoda,Insecta,Hemiptera,Scutelleridae,Eurygaster,maura,herbivore,species,9.5,h,19; 20,2
S0225,Eurygaster_testudinaria,Animalia,Arthropoda,Insecta,Hemiptera,Scutelleridae,Eurygaster,testudinaria,herbivore,species,10,h,19; 20,2
S0226,Acalypta_carinata,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,carinata,herbivore,species,3,g,19; 20; 27,1
S0227,Acalypta_marginata,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,marginata,herbivore,species,2.05,i,19; 20; 27,2
S0228,Acalypta_nigrina,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,nigrina,herbivore,species,2.6,g,19; 20; 27,1
S0229,Catoplatus_fabricii,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Catoplatus,fabricii,herbivore,species,4.1,g,27,1; 2
S0230,Kalama_tricornis,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Kalama,tricornis,herbivore,species,3.15,g,27,1
S0231,Aeolothrips_intermedius,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,intermedius,predator,species,2.5,h,19; 33,2
S0232,Haplothrips_aculeatus,Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Haplothrips,aculeatus,herbivore,species,1.5,h,19; 33,2
S0233,Frankliniella_intonsa,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Frankliniella,intonsa,herbivore,species,1.6,h,19; 33,2
S0234,Frankliniella_tenuicornis,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Frankliniella,tenuicornis,herbivore,species,1.6,h,19; 33,2
S0235,Limothrips_cerealium,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Limothrips,cerealium,herbivore,species,1.1,h,19; 33,2
S0236,Limothrips_denticornis,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Limothrips,denticornis,herbivore,species,1.5,h,19; 33,2
S0237,Odontothrips_loti,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Odontothrips,loti,herbivore,species,1.55,h,19; 33,2
S0238,Odontothrips_phaleratus,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Odontothrips,phaleratus,herbivore,species,7,h,19; 33,2
S0239,Thrips_sp1-angusticeps,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Thrips,angusticeps,herbivore,species,1.5,h,19; 33,2
S0240,Anthicus_antherinus,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,antherinus,omnivore,species,2.8,g,34,1; 3
S0241,Apion_cruentatum,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Apion,cruentatum,herbivore,species,3,h,35,1
S0242,Apion_frumentarium,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Apion,frumentarium,herbivore,species,2.65,h,19; 35,1
S0243,Catapion_pubescens,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Catapion,pubescens,herbivore,species,1.75,h,19; 35,2
S0244,Catapion_seniculus,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Catapion,seniculus,herbivore,species,1.8,h,36,2
S0245,Cerapion_onopordi,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,CeratapionAcanephodus,onopordi,herbivore,species,3.5,h,35; 36,1; 2
S0246,Diplapion_confluens,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Diplapion,confluens,herbivore,species,2.05,h,37,1; 2
S0247,Holotrichapion_aethiops,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Holotrichapion,aethiops,herbivore,species,2.7,h,35,1
S0248,Apion_pisi,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Holotrichapion,pisi,herbivore,species,3,h,36,1
S0249,Ischnopterapion_loti,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Ischnopterapion,loti,herbivore,species,2.16,h,36; 38,1; 2
S0250,Ischnopterapion_modestum,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Ischnopterapion,modestum,herbivore,species,2.12,h,35,2
S0251,Ischnopterapion_virens,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Ischnopterapion,virens,herbivore,species,1.7,h,35,1; 2
S0252,Apion_semivittatum,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Kalcapion Kalcapion,semivittatum,herbivore,species,2.1,h,35,2
S0253,Apion_violaceum,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Perapion,violaceum,herbivore,species,5,h,35; 36,1
S0254,Protapion_apricans,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,apricans,herbivore,species,2.45,h,19; 35; 39,1
S0255,Protapion_assimile,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,assimile,herbivore,species,2.05,h,35,1; 2
S0256,Protapion_fulvipes,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,fulvipes,herbivore,species,2,h,35; 36,1; 2
S0257,Protapion_nigritarse,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,nigritarse,herbivore,species,1.75,h,35,1
S0258,Protapion_trifolii,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,trifolii,herbivore,species,1.9,h,19; 35; 39,1; 2
S0259,Squamapion_cineraceum,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Squamapion,cineraceum,herbivore,species,2,h,35,1
S0260,Stenopterapion_tenue,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Stenopterapion,tenue,herbivore,species,1.95,h,35,1; 2
S0261,Eutrichapion_punctigerum,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Eutrichapion,punctigerum,herbivore,species,2.7,h,35; 40,1; 2
S0262,Bruchus_luteicornis,Animalia,Arthropoda,Insecta,Coleoptera,Bruchidae,Bruchus,luteicornis,herbivore,species,2.15,h,41; 42; 43; 44,1; 2
S0263,Trachys_scrobiculatus,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Trachys,scrobiculatus,herbivore,species,2,h,45,2
S0264,Byrrhus_pilula,Animalia,Arthropoda,Insecta,Coleoptera,Byrrhidae,Byrrhus,pilula,herbivore,species,8,g,46,1
S0265,Lamprobyrrhulus_nitidus,Animalia,Arthropoda,Insecta,Coleoptera,Byrrhidae,Lamprobyrrhulus,nitidus,herbivore,species,3,g,46,1
S0266,Simplocaria_semistriata,Animalia,Arthropoda,Insecta,Coleoptera,Byrrhidae,Simplocaria,semistriata,herbivore,species,2.75,g,46,1
S0267,Cantharis_fusca,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,fusca,predator,species,12.5,i,36; 48,2; 3; 5.3
S0268,Cantharis_lateralis,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,lateralis,predator,species,6,i,36; 48,2; 3; 5.3
S0269,Cantharis_rufa,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,rufa,predator,species,7.5,i,36; 48,2; 3; 5.3
S0270,Rgonycha_fulva,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,RgonychaRhagonycha,fulva,omnivore,species,8.5,i,36; 48,1; 3; 5.3
S0271,Acupalpus_meridianus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Acupalpus,meridianus,predator,species,3.5,g,8; 49; 50; 51,1; 2; 5.2
S0272,Agonum_mülleri,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,mülleri,predator,species,7.95,i,36,1; 2; 3; 5.2
S0273,Amara_aenea,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,aenea,omnivore,species,7.5,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0274,Amara_aulica,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,aulica,omnivore,species,12.8,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0275,Amara_bifrons,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,bifrons,omnivore,species,6.5,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0276,Amara_communis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,communis,predator,species,7,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0277,Amara_consularis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,consularis,predator,species,8.25,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0278,Amara_convexior,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,convexior,omnivore,species,8,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0279,Amara_equestris,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,equestris,omnivore,species,11.3,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0280,Amara_eurynota,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,eurynota,omnivore,species,11,i,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0281,Amara_familiaris,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,familiaris,omnivore,species,6.5,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0282,Amara_lunicollis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,lunicollis,omnivore,species,7.5,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0283,Amara_montivaga,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,montivaga,omnivore,species,8.5,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0284,Amara_nitida,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,nitida,omnivore,species,8,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0285,Amara_ovata,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,ovata,omnivore,species,8.8,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0286,Amara_plebeja,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,plebeja,omnivore,species,7,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0287,Amara_quenseli,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,quenseli,omnivore,species,9.4,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0288,Amara_similata,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,similata,omnivore,species,8.25,g,8; 49; 50; 51; 52,1; 2; 3; 5.2
S0289,Anchomenus_dorsalis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anchomenus,dorsalis,predator,species,6.8,g,49,2; 5.2
S0290,Anisodactylus_binotatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anisodactylus,binotatus,omnivore,species,11,g,49; 52,1; 2; 3; 5.2
S0291,Asaphidion_flavipes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Asaphidion,flavipes,predator,species,4.65,g,49,2; 5.1
S0292,Asaphidion_pallipes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Asaphidion,pallipes,predator,species,4.85,g,49,2; 5.1
S0293,Badister_bullatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Badister,bullatus,predator,species,5.7,g,1; 49,1; 2; 5.1
S0294,Bembidion_lampros,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,lampros,predator,species,3.5,g,1; 49,2; 5.1
S0295,Bembidion_obtusum,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,obtusum,predator,species,3.2,g,1; 49,2; 5.1
S0296,Bembidion_properans,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,properans,predator,species,3.75,g,1; 49,2; 5.1
S0297,Bembidion_quadrimaculatum,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,quadrimaculatum,omnivore,species,3.1,g,1; 49,2; 5.1
S0298,Brachinus_explodens,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,explodens,predator,species,6,g,1; 49,2; 5.1
S0299,Calathus_erratus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Calathus,erratus,predator,species,10,g,1; 49,2; 5.1
S0300,Calathus_fuscipes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Calathus,fuscipes,predator,species,12.3,g,1; 49,2; 5.1
S0301,Calathus_melanocephalus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Calathus,melanocephalus,omnivore,species,7.5,g,1; 49,2; 5.1
S0302,Carabus_auratus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,auratus,omnivore,species,23.5,g,1; 49,2; 5.1
S0303,Carabus_granulatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,granulatus,predator,species,20,g,1; 49,2; 5.1
S0304,Carabus_nemoralis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,nemoralis,predator,species,23,g,1; 49,2; 5.1
S0305,Cicindela_campestris,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,campestris,predator,species,12.5,g,1; 49,2; 5.1
S0306,Clivina_fossor,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Clivina,fossor,omnivore,species,6.25,g,1; 49,2; 5.1
S0307,Diachromus_germanus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Diachromus,germanus,herbivore,species,9,h,1; 49,1; 2; 3; 5.2
S0308,Dyschirius_globosus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dyschirius,globosus,predator,species,2.4,g,1; 49,2; 5.1
S0309,Harpalus_affinis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,affinis,omnivore,species,10.5,i,1; 8; 49; 50,1; 2; 3; 5.2
S0310,Harpalus_distinguendus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,distinguendus,omnivore,species,9.6,g,1; 8; 49; 50,1; 2; 3; 5.2
S0311,Harpalus_griseus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,griseus,omnivore,species,10,g,1; 8; 49; 50,1; 2; 3; 5.2
S0312,Harpalus_latus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,latus,herbivore,species,9.5,g,1; 8; 49; 50,1; 2; 3; 5.2
S0313,Harpalus_rubripes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,rubripes,herbivore,species,10,g,1; 8; 49; 50,1; 2; 3; 5.2
S0314,Harpalus_rufipes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,rufipes,omnivore,species,13.5,g,1; 8; 49; 50,1; 2; 3; 5.2
S0315,Leistus_ferrugineus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,ferrugineus,predator,species,7,g,1; 49,2; 5.1
S0316,Limodromus_assimilis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Limodromus,assimilis,predator,species,11,g,1; 49,2; 5.1
S0317,Loricera_pilicornis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Loricera,pilicornis,predator,species,5.21,g,1; 49,2; 5.1
S0318,Microlestes_maurus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Microlestes,maurus,predator,species,3,g,1; 49,2; 5.1
S0319,Microlestes_minutulus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Microlestes,minutulus,predator,species,3.1,g,1; 49,2; 5.1
S0320,Nebria_brevicollis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,brevicollis,predator,species,12,g,1; 49,2; 5.1
S0321,Notiophilus_aestuans,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Notiophilus,aestuans,predator,species,4.7,g,1; 49,2; 5.1
S0322,Notiophilus_aquaticus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Notiophilus,aquaticus,predator,species,4.7,h,1; 49,2; 5.1
S0323,Notiophilus_palustris,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Notiophilus,palustris,predator,species,4.5,g,1; 49,1; 2; 5.2
S0324,Ophonus_ardosiacus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,ardosiacus,herbivore,species,13.5,g,1; 8; 49; 50,1; 2; 3; 5.2
S0325,Ophonus_azureus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,azureus,herbivore,species,7.5,g,1; 8; 49; 50,1; 2; 3; 5.2
S0326,Ophonus_laticollis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,laticollis,herbivore,species,9.75,i,1; 8; 49; 50,1; 2; 3; 5.2
S0327,Ophonus_puncticeps,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,puncticeps,herbivore,species,8.3,g,1; 8; 49; 50,1; 2; 3; 5.2
S0328,Harpalus_seladon,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,rufibarbis,herbivore,species,8,g,1; 8; 49; 50,1; 2; 3; 5.2
S0329,Ophonus_schaubergerianus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,schaubergerianus,herbivore,species,7.5,g,1; 8; 49; 50,1; 2; 3; 5.2
S0330,Ophonus_stictus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,stictus,herbivore,species,13,i,1; 49,1; 2; 3; 5.2
S0331,Paratachys_bistriatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,bistriatus,predator,species,1.9,g,1; 49,2; 5.1
S0332,Poecilus_cupreus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Poecilus,cupreus,omnivore,species,11,g,1; 49,1; 2; 3; 5.2
S0333,Poecilus_versicolor,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Poecilus,versicolor,predator,species,9.8,g,1; 49,2; 5.1
S0334,Pseudophonus_rufipes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pseudophonus,rufipes,predator,species,13.27,g,1; 49,1; 2; 3; 5.2
S0335,Pterostichus_melanarius,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,melanarius,predator,species,15,i,1; 4; 49; 53,2; 5.1
S0336,Pterostichus_minor,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,minor,predator,species,7,i,1; 4; 49; 53,2; 5.1
S0337,Pterostichus_strenuus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,strenuus,predator,species,6,g,1; 4; 49; 53,2; 5.1
S0338,Pterostichus_vernalis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,vernalis,predator,species,6.85,i,1; 4; 49; 53,2; 5.1
S0339,Stomis_pumicatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Stomis,pumicatus,predator,species,7.4,g,1; 49,2; 5.1
S0340,Syntomus_truncatellus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Syntomus,truncatellus,predator,species,3.15,i,1; 49,2; 5.1
S0341,Synuchus_vivalis,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Synuchus,vivalis,predator,species,7.4,g,1; 49,2; 5.1
S0342,Trechus_quadristriatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Trechus,quadristriatus,omnivore,species,4,g,1; 49,1; 2; 3; 5.2
S0343,Aphthona_pallida,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Aphthona,pallida,herbivore,species,1.65,h,54,1; 2
S0344,Asiorestia_ferruginea,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Asiorestia,ferruginea,herbivore,species,3.1,h,55,1; 2
S0345,Cassida_sanguinosa,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cassida,sanguinosa,herbivore,species,4.75,h,56,2
S0346,Cassida_vibex,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cassida,vibex,herbivore,species,6.25,h,44,2
S0347,Chaetocnema_concinna,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,concinna,herbivore,species,1.9,h,36; 57,2
S0348,Chaetocnema_hortensis,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,hortensis,herbivore,species,1.9,h,36; 55,1; 2
S0349,Chaetocnema_laevicollis,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,laevicollis,herbivore,species,2,h,36; 55; 57,1; 2
S0350,Chrysolina_haemoptera,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,haemoptera,herbivore,species,7,h,55; 58,1; 2
S0351,Chrysolina_oricalcia,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,oricalcia,herbivore,species,7.5,h,55,2
S0352,Chrysolina_staphylaea,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,staphylaea,herbivore,species,7.75,h,19; 72,1; 2
S0353,Chrysolina_sturmi,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,sturmi,herbivore,species,8,h,54; 55; 73,1; 2
S0354,Epithrix_pubescens,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Epitrix,pubescens,herbivore,species,1.75,h,54,2
