sp_taxon_1;sp_taxon_2;value
Thraupis cyanoptera;Didymopanax angustissimum;1
Thraupis cyanoptera;Gomidesia affinis;1
Thraupis cyanoptera;Guapira opposita;1
Thraupis cyanoptera;Myrcia sp1 M_SD_022;1
Thraupis cyanoptera;Phytolacca dioica;1
Thraupis cyanoptera;Protium heptaphyllum;1
Thraupis cyanoptera;Psidium guajava;1
Thraupis cyanoptera;Solanum inodorum;1
Thraupis cyanoptera;Miconia cabucu;1
Thraupis cyanoptera;Psychotria leiocarpa;1
Thraupis cyanoptera;Casearia decandra;1
Thraupis cyanoptera;Eugenia melanogyna;1
Thraupis cyanoptera;Ficus sp2 M_SD_022;1
Thraupis cyanoptera;Drimys brasiliensis;1
Thraupis cyanoptera;Leandra xanthocona;1
Euphonia pectoralis;Myrsine coriacea;1
Euphonia pectoralis;Ficus luschnatiana;1
Euphonia pectoralis;Coussapoa microcarpa;1
Euphonia pectoralis;Cecropia glaziovi;1
Euphonia pectoralis;Miconia pusilliflora;1
Euphonia pectoralis;Trema micrantha;1
Euphonia pectoralis;Miconia valtherii;1
Euphonia pectoralis;Leandra dasytricha;1
Euphonia pectoralis;Xylopia brasiliensis;1
Euphonia pectoralis;Gomidesia schaueriana;1
Euphonia pectoralis;Miconia latecrenata;1
Euphonia pectoralis;Ossaea amygdaloides;1
Euphonia pectoralis;Miconia theaezans;1
Euphonia pectoralis;Leandra pilonensis;1
Euphonia pectoralis;Psychotria longipes;1
Euphonia pectoralis;Miconia cinnamomifolia;1
Euphonia pectoralis;Leandra australis;1
Euphonia pectoralis;Leandra refracta;1
Euphonia pectoralis;Phytolacca dioica;1
Euphonia pectoralis;Leandra sabiaensis;1
Euphonia pectoralis;Rhipsalis campos-portuana;1
Euphonia pectoralis;Rhipsalis teres;1
Euphonia pectoralis;Urera baccifera;1
Euphonia pectoralis;Bromeliacea sp1 M_SD_022;1
Euphonia pectoralis;Bromeliacea sp2 M_SD_022;1
Euphonia pectoralis;Anthurium scandens ;1
Euphonia pectoralis;Codonanthe cordifolia;1
Euphonia pectoralis;Rhipsalis eliptica;1
Euphonia pectoralis;Rhipsalis sp1 M_SD_022;1
Tangara cyanocephala;Myrsine coriacea;1
Tangara cyanocephala;Ficus luschnatiana;1
Tangara cyanocephala;Coussapoa microcarpa;1
Tangara cyanocephala;Myrsine lancifolia;1
Tangara cyanocephala;Cupania vernalis;1
Tangara cyanocephala;Miconia pusilliflora;1
Tangara cyanocephala;Trema micrantha;1
Tangara cyanocephala;Symplocos glanduloso-marginata;1
Tangara cyanocephala;Miconia budlejoides;1
Tangara cyanocephala;Miconia valtherii;1
Tangara cyanocephala;Leandra dasytricha;1
Tangara cyanocephala;Myrcia fallax;1
Tangara cyanocephala;Miconia racemifera;1
Tangara cyanocephala;Miconia latecrenata;1
Tangara cyanocephala;Ossaea amygdaloides;1
Tangara cyanocephala;Miconia theaezans;1
Tangara cyanocephala;Struthanthus sp1 M_SD_022;1
Tangara cyanocephala;Matayba guianensis;1
Tangara cyanocephala;Miconia cinnamomifolia;1
Tangara cyanocephala;Leandra australis;1
Tangara cyanocephala;Miconia brasiliensis;1
Tangara cyanocephala;Miconia inconspicua;1
Tangara cyanocephala;Mollinedia boracensis;1
Tangara cyanocephala;Psychotria forsteronioides;1
Thraupis ornata;Myrsine coriacea;1
Thraupis ornata;Coussapoa microcarpa;1
Thraupis ornata;Myrsine lancifolia;1
Thraupis ornata;Cecropia glaziovi;1
Thraupis ornata;Miconia pusilliflora;1
Thraupis ornata;Trema micrantha;1
Thraupis ornata;Symplocos glanduloso-marginata;1
Thraupis ornata;Myrcia fallax;1
Thraupis ornata;Miconia racemifera;1
Thraupis ornata;Schinus terebinthifolius;1
Thraupis ornata;Allophylus edulis;1
Thraupis ornata;Miconia theaezans;1
Thraupis ornata;Myrcia grandiflora;1
Thraupis ornata;Nectandra membranacea;1
Thraupis ornata;Ilex brevicuspis;1
Thraupis ornata;Tetrorchidium rubrivenium;1
Thraupis ornata;Clusia criuva;1
Thraupis ornata;Ilex microdonta;1
Thraupis ornata;Piper dilatatum;1
Thraupis ornata;Miconia brasiliensis;1
Thraupis ornata;Guapira opposita;1
Thraupis ornata;Protium heptaphyllum;1
Thraupis ornata;Miconia sellowiana;1
Thraupis ornata;Myrsine umbellata;1
Platycichla flavipes;Myrsine coriacea;1
Platycichla flavipes;Ficus luschnatiana;1
Platycichla flavipes;Coussapoa microcarpa;1
Platycichla flavipes;Myrsine lancifolia;1
Platycichla flavipes;Cupania vernalis;1
Platycichla flavipes;Miconia pusilliflora;1
Platycichla flavipes;Euterpe edulis;1
Platycichla flavipes;Myrcia fallax;1
Platycichla flavipes;Alchornea triplinervia;1
Platycichla flavipes;Xylopia brasiliensis;1
Platycichla flavipes;Virola bicuhyba;1
Platycichla flavipes;Sapium glandulatum;1
Platycichla flavipes;Tetrorchidium rubrivenium;1
Platycichla flavipes;Marcgravia polyantha;1
Platycichla flavipes;Amaioua intermedia;1
Platycichla flavipes;Casearia sylvestris ;1
Platycichla flavipes;Tournefortia paniculata;1
Platycichla flavipes;Guapira opposita;1
Platycichla flavipes;Ocotea bicolor;1
Platycichla flavipes;Protium heptaphyllum;1
Platycichla flavipes;Miconia cabucu;1
Platycichla flavipes;Rhipsalis campos-portuana;1
Platycichla flavipes;Paullinia uloptera;1
Selenidera maculirostris;Ficus luschnatiana;1
Selenidera maculirostris;Coussapoa microcarpa;1
Selenidera maculirostris;Cecropia glaziovi;1
Selenidera maculirostris;Symplocos glanduloso-marginata;1
Selenidera maculirostris;Miconia budlejoides;1
Selenidera maculirostris;Euterpe edulis;1
Selenidera maculirostris;Miconia racemifera;1
Selenidera maculirostris;Gomidesia schaueriana;1
Selenidera maculirostris;Clusia criuva;1
Selenidera maculirostris;Marcgravia polyantha;1
Selenidera maculirostris;Amaioua intermedia;1
Selenidera maculirostris;Persea pyrifolia;1
Selenidera maculirostris;Miconia cinnamomifolia;1
Selenidera maculirostris;Hieronyma alchorneoides;1
Selenidera maculirostris;Myrcia rufula;1
Selenidera maculirostris;Myrcia sp1 M_SD_022;1
Selenidera maculirostris;Rudgea jasminoides;1
Selenidera maculirostris;Ocotea spixiana;1
Selenidera maculirostris;Siphoneugena densiflora;1
Selenidera maculirostris;Coussarea contracta;1
Selenidera maculirostris;Ocotea odorifera;1
Selenidera maculirostris;Ocotea sp1 M_SD_022;1
Selenidera maculirostris;Ouratea vaccinioides;1
Baillonius bailloni;Coussapoa microcarpa;1
Baillonius bailloni;Cecropia glaziovi;1
Baillonius bailloni;Symplocos glanduloso-marginata;1
Baillonius bailloni;Miconia budlejoides;1
Baillonius bailloni;Leandra dasytricha;1
Baillonius bailloni;Euterpe edulis;1
Baillonius bailloni;Alchornea triplinervia;1
Baillonius bailloni;Xylopia brasiliensis;1
Baillonius bailloni;Miconia racemifera;1
Baillonius bailloni;Gomidesia schaueriana;1
Baillonius bailloni;Virola bicuhyba;1
Baillonius bailloni;Amaioua intermedia;1
Baillonius bailloni;Ilex microdonta;1
Baillonius bailloni;Psychotria longipes;1
Baillonius bailloni;Maytenus robustus;1
Baillonius bailloni;Miconia cinnamomifolia;1
Baillonius bailloni;Miconia discolor;1
Baillonius bailloni;Psychotria leiocarpa;1
Baillonius bailloni;Ficus sp2 M_SD_022;1
Baillonius bailloni;Geonoma sp1 M_SD_022;1
Baillonius bailloni;Maytenus litoralis;1
Baillonius bailloni;Nectandra mollis;1
Cacicus haemorrhous;Myrsine coriacea;1
Cacicus haemorrhous;Ficus luschnatiana;1
Cacicus haemorrhous;Coussapoa microcarpa;1
Cacicus haemorrhous;Myrsine lancifolia;1
Cacicus haemorrhous;Cupania vernalis;1
Cacicus haemorrhous;Miconia valtherii;1
Cacicus haemorrhous;Euterpe edulis;1
Cacicus haemorrhous;Alchornea triplinervia;1
Cacicus haemorrhous;Rubus rosaefolius;1
Cacicus haemorrhous;Xylopia brasiliensis;1
Cacicus haemorrhous;Nectandra membranacea;1
Cacicus haemorrhous;Tetrorchidium rubrivenium;1
Cacicus haemorrhous;Clusia criuva;1
Cacicus haemorrhous;Marcgravia polyantha;1
Cacicus haemorrhous;Alchornea glandulosa;1
Cacicus haemorrhous;Ocotea bicolor;1
Cacicus haemorrhous;Miconia cabucu;1
Cacicus haemorrhous;Urera baccifera;1
Cacicus haemorrhous;Myrcia sp2 M_SD_022;1
Cacicus haemorrhous;Miconia doriana;1
Cacicus haemorrhous;Abuta sellowiana;1
Cacicus haemorrhous;Cabralea canjerana;1
Philander frenata;Ficus luschnatiana;1
Philander frenata;Coussapoa microcarpa;1
Philander frenata;Myrcia fallax;1
Philander frenata;Rubus rosaefolius;1
Philander frenata;Ossaea amygdaloides;1
Philander frenata;Rubus urticaefolius;1
Philander frenata;Leandra pilonensis;1
Philander frenata;Piper dilatatum;1
Philander frenata;Psidium cattleianum;1
Philander frenata;Vassobia breviflora;1
Philander frenata;Leandra melastomatoides;1
Philander frenata;Piper corintoanum;1
Philander frenata;Leandra sp1 M_SD_022;1
Philander frenata;Solanum megalochiton;1
Philander frenata;Philodendron appendiculatum;1
Philander frenata;Rubus brasiliensis;1
Philander frenata;Anthurium crassipes;1
Philander frenata;Campomanesia guaviroba;1
Philander frenata;Solanum sancta-catharinae;1
Philander frenata;Campomanesia neriiflora;1
Philander frenata;Cayaponia sp1 M_SD_022;1
Philander frenata;Solanum pseudoquina;1
Stephanophorus diadematus;Myrsine coriacea;1
Stephanophorus diadematus;Ficus luschnatiana;1
Stephanophorus diadematus;Miconia pusilliflora;1
Stephanophorus diadematus;Symplocos glanduloso-marginata;1
Stephanophorus diadematus;Miconia budlejoides;1
Stephanophorus diadematus;Schinus terebinthifolius;1
Stephanophorus diadematus;Ossaea amygdaloides;1
Stephanophorus diadematus;Rubus urticaefolius;1
