REARING_NUMBER;date;sp_taxon_1;sp_taxon_2;value;attr;lat;lon;type
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Bracon intercessor;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Pteromalus dolichurus;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Salix purpurea;Pontania viminalis;49;Number of galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Eurytoma aciculata;4;Number of parasited galls;49,81666667;8,416666667;commensalism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Eulonchetron torymoides;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198237A-V1Oproxi;1982-07-20;Salix alba;Pontania proxima;55;Number of galls;49,85;8,383333333;parasitism
198237A-V1Oproxi;1982-07-20;Pontania proxima;Euderus albitarsis;1;Number of parasited galls;49,85;8,383333333;parasitism
198237A-V1Oproxi;1982-07-20;Pontania proxima;Eupelmus urozonus;1;Number of parasited galls;49,85;8,383333333;parasitism
198237A-V1Oproxi;1982-07-20;Pontania proxima;Curculio crux;33;Number of parasited galls;49,85;8,383333333;commensalism
198237A-V1Oproxi;1982-07-20;Pontania proxima;Bracon discoideus;1;Number of parasited galls;49,85;8,383333333;parasitism
198237A-V1Oproxi;1982-07-20;Pontania proxima;Braconidae indet.;2;Number of parasited galls;49,85;8,383333333;parasitism
198238A-39V1Ovaria;1982-08-01;Salix myrsinifolia;Pontania varia;163;Number of galls;47,1;11,65;parasitism
198238A-39V1Ovaria;1982-08-01;Pontania varia;Chalcidoidea indet.;13;Number of parasited galls;47,1;11,65;parasitism
198238A-39V1Ovaria;1982-08-01;Pontania varia;Eurytoma aciculata;2;Number of parasited galls;47,1;11,65;commensalism
198238A-39V1Ovaria;1982-08-01;Pontania varia;Scambus vesicarius;1;Number of parasited galls;47,1;11,65;parasitism
198240A-V1Onigri;1982-08-01;Pontania nigricantis;Cirrospilus vittatus;1;Number of parasited galls;47,1;11,65;parasitism
198240A-V1Onigri;1982-08-01;Pontania nigricantis;Bracon intercessor;4;Number of parasited galls;47,1;11,65;parasitism
198240A-V1Onigri;1982-08-01;Pontania nigricantis;Pteromalus dolichurus;24;Number of parasited galls;47,1;11,65;parasitism
198240A-V1Onigri;1982-08-01;Salix myrsinifolia;Pontania nigricantis;85;Number of galls;47,1;11,65;parasitism
198240A-V1Onigri;1982-08-01;Pontania nigricantis;Scambus vesicarius;3;Number of parasited galls;47,1;11,65;parasitism
198241A-V1Ovesic;1982-08-01;Salix purpurea;Pontania vesicator;53;Number of galls;47,1;11,65;parasitism
198241A-V1Ovesic;1982-08-01;Pontania vesicator;Lissonota ?alpinistor;3;Number of parasited galls;47,1;11,65;parasitism
198242A-H1Oobscu;1982-08-01;Salix foetida;Pontania obscura;38;Number of galls;47,1;11,65;parasitism
198242A-H1Oobscu;1982-08-01;Pontania obscura;Chalcidoidea indet.;3;Number of parasited galls;47,1;11,65;parasitism
198242A-H1Oobscu;1982-08-01;Pontania obscura;Bracon romani;3;Number of parasited galls;47,1;11,65;parasitism
198242A-H1Oobscu;1982-08-01;Pontania obscura;Braconidae indet.;1;Number of parasited galls;47,1;11,65;parasitism
198242A-H1Oobscu;1982-08-01;Pontania obscura;Pteromalus dolichurus;14;Number of parasited galls;47,1;11,65;parasitism
198243A-V1Ovaria;1982-08-01;Salix myrsinifolia;Pontania varia;97;Number of galls;47,1;11,65;parasitism
198243A-V1Ovaria;1982-08-01;Pontania varia;Pteromalus dolichurus;1;Number of parasited galls;47,1;11,65;parasitism
198243A-V1Ovaria;1982-08-01;Pontania varia;Scambus vesicarius;1;Number of parasited galls;47,1;11,65;parasitism
198243A-V1Ovaria;1982-08-01;Pontania varia;Chalcidoidea indet.;6;Number of parasited galls;47,1;11,65;parasitism
198244A-ZOnigri;1982-08-02;Salix myrsinifolia;Pontania nigricantis;42;Number of galls;47,1;11,65;parasitism
198244A-ZOnigri;1982-08-02;Pontania nigricantis;Pteromalus dolichurus;8;Number of parasited galls;47,1;11,65;parasitism
198244A-ZOnigri;1982-08-02;Pontania nigricantis;Scambus vesicarius;1;Number of parasited galls;47,1;11,65;parasitism
198244A1-V1Ofoeti;1982-08-02;Salix foetida;Pontania foetidae;21;Number of galls;47,1;11,65;parasitism
198245A-V1Ovesic;1982-08-01;Pontania vesicator;Lissonota ?alpinistor;3;Number of parasited galls;47,1;11,65;parasitism
198245A-V1Ovesic;1982-08-01;Salix purpurea;Pontania vesicator;44;Number of galls;47,1;11,65;parasitism
198246A-LObridg;1982-08-02;Pontania bridgmanii;Chalcidoidea indet.;1;Number of parasited galls;47,1;11,65;parasitism
198246A-LObridg;1982-08-02;Pontania bridgmanii;Braconidae indet.;1;Number of parasited galls;47,1;11,65;parasitism
198246A-LObridg;1982-08-02;Salix appendiculata;Pontania bridgmanii;12;Number of galls;47,1;11,65;parasitism
198246M-47V1Obridg;1982-08-02;Salix appendiculata;Pontania bridgmanii;204;Number of galls;47,3;11,9;parasitism
198246M-47V1Obridg;1982-08-02;Pontania bridgmanii;Shawiana lapponica;3;Number of parasited galls;47,3;11,9;parasitism
198248A-49E1Oretus;1982-08-04;Pontania retusae;Eulonchetron torymoides;1;Number of parasited galls;47,1;11,66666667;parasitism
198248A-49E1Oretus;1982-08-04;Salix retusa;Pontania retusae;79;Number of galls;47,1;11,66666667;parasitism
198248A-49E1Oretus;1982-08-04;Pontania retusae;Pteromalus pontaniae;1;Number of parasited galls;47,1;11,66666667;parasitism
198248A-49E1Oretus;1982-08-04;Pontania retusae;Pteromalus dolichurus;1;Number of parasited galls;47,1;11,66666667;parasitism
198248A-49E1Oretus;1982-08-04;Pontania retusae;Chalcidoidea indet.;2;Number of parasited galls;47,1;11,66666667;parasitism
198250A-D1Obridg;1982-08-05;Salix appendiculata;Pontania bridgmanii;59;Number of galls;47,3;11,9;parasitism
198251A-MOvimin;1982-08-11;Salix purpurea;Pontania viminalis;9;Number of galls;49,85;8,516666667;parasitism
198251A-MOvimin;1982-08-11;Pontania viminalis;Euderus albitarsis;1;Number of parasited galls;49,85;8,516666667;parasitism
198251A-MOvimin;1982-08-11;Pontania viminalis;Pteromalus dolichurus;1;Number of parasited galls;49,85;8,516666667;parasitism
198251A-MOvimin;1982-08-11;Pontania viminalis;Eupelmus urozonus;4;Number of parasited galls;49,85;8,516666667;parasitism
198251A-MOvimin;1982-08-11;Pontania viminalis;Curculio crux;1;Number of parasited galls;49,85;8,516666667;commensalism
198251L1-V1Ovimin;1982-08-11;Pontania viminalis;Pteromalus dolichurus;1;Number of parasited galls;49,85;8,383333333;parasitism
198251L1-V1Ovimin;1982-08-11;Pontania viminalis;Curculio crux;3;Number of parasited galls;49,85;8,383333333;commensalism
198251L1-V1Ovimin;1982-08-11;Pontania viminalis;Eulonchetron torymoides;3;Number of parasited galls;49,85;8,383333333;parasitism
198251L1-V1Ovimin;1982-08-11;Salix purpurea;Pontania viminalis;16;Number of galls;49,85;8,383333333;parasitism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Scambus vesicarius;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Aprostocetus alveatus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Chalcidoidea indet.;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Eulonchetron torymoides;3;Number of parasited galls;49,81666667;8,416666667;parasitism
198251N-K1Ovimin;1982-08-11;Salix purpurea;Pontania viminalis;25;Number of galls;49,81666667;8,416666667;parasitism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Eurytoma aciculata;1;Number of parasited galls;49,81666667;8,416666667;commensalism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Curculio crux;6;Number of parasited galls;49,81666667;8,416666667;commensalism
198251N-K1Ovimin;1982-08-11;Pontania viminalis;Euderus albitarsis;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198252A-V1Oproxi;1982-08-11;Salix alba;Pontania proxima;77;Number of galls;49,81666667;8,416666667;parasitism
198252A-V1Oproxi;1982-08-11;Pontania proxima;Curculio crux;56;Number of parasited galls;49,81666667;8,416666667;commensalism
198252A-V1Oproxi;1982-08-11;Pontania proxima;Lathrostizus lugens;7;Number of parasited galls;49,81666667;8,416666667;parasitism
198252A-V1Oproxi;1982-08-11;Pontania proxima;Braconidae indet.;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198252A-V1Oproxi;1982-08-11;Pontania proxima;Scambus vesicarius;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198252A-V1Oproxi;1982-08-11;Pontania proxima;Bracon romani;4;Number of parasited galls;49,81666667;8,416666667;parasitism
198253A-V1Ovesic;1982-08-11;Pontania vesicator;Curculio crux;12;Number of parasited galls;49,81666667;8,416666667;commensalism
198253A-V1Ovesic;1982-08-11;Salix purpurea;Pontania vesicator;88;Number of galls;49,81666667;8,416666667;parasitism
198253A-V1Ovesic;1982-08-11;Pontania vesicator;Braconidae indet.;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198253A-V1Ovesic;1982-08-11;Pontania vesicator;Eurytoma aciculata;26;Number of parasited galls;49,81666667;8,416666667;commensalism
198253A-V1Ovesic;1982-08-11;Pontania vesicator;Chalcidoidea indet.;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198253A-V1Ovesic;1982-08-11;Pontania vesicator;Pteromalus dolichurus;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198254A-55V1Oproxi;1982-08-24;Salix alba;Pontania proxima;136;Number of galls;49,81666667;8,416666667;parasitism
198254A-55V1Oproxi;1982-08-24;Pontania proxima;Lathrostizus lugens;11;Number of parasited galls;49,81666667;8,416666667;parasitism
198254A-55V1Oproxi;1982-08-24;Pontania proxima;Probles clavicornis;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198254A-55V1Oproxi;1982-08-24;Pontania proxima;Bracon discoideus;2;Number of parasited galls;49,81666667;8,416666667;parasitism
198254A-55V1Oproxi;1982-08-24;Pontania proxima;Curculio crux;81;Number of parasited galls;49,81666667;8,416666667;commensalism
198256A-WOobscu;1982-08-29;Salix foetida;Pontania obscura;23;Number of galls;47,1;11,65;parasitism
198256A-WOobscu;1982-08-29;Pontania obscura;Braconidae indet.;2;Number of parasited galls;47,1;11,65;parasitism
198256A-WOobscu;1982-08-29;Pontania obscura;Pteromalus dolichurus;2;Number of parasited galls;47,1;11,65;parasitism
