REARING_NUMBER;taxon;name;value
2008SZ05Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ80Halien;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ5151Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2004SZ13Halien;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2004SZ36Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2004SZ37Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ09Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ60Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ76Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ75Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1998SZ01Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1997SZ72Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2009SZ23Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1998SZ16Hischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ20Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1995SZFHleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2010SZ39Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1998SZ26Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2008SZ07Halien;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ5757Hacuti;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ79Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2009SZ31Heryth;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ30Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ5454Hacuti;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2003SZ06Halien;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
