"REARING_NUMBER";"original_name";"name_clear"
"198501A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198502A-TOdolic";"Pontania dolichura";"Pontania dolichura"
"198502A-TOdolic";"Salix phylicifolia";"Salix phylicifolia"
"198502Y-V1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"198502Y-V1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"198503A-H1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198503A-H1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198503I1-V1+4Ovaria";"Pontania varia";"Pontania varia"
"198503I1-V1+4Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198505A-V1Obridg";"Salix caprea";"Salix caprea"
"198505A-V1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198506A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198506A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198507A-V1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198507A-V1Obridg";"Salix caprea";"Salix caprea"
"198508A-Q1Ovaria";"Pontania varia";"Pontania varia"
"198508A-Q1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198508S1-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198508S1-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198509A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198509A-V1Ovaria";"Pontania varia";"Pontania varia"
"198510A-12V1Oglauc";"Pontania glaucae";"Pontania glaucae"
"198510A-12V1Oglauc";"Salix glauca";"Salix glauca"
"198513A-V1Onival";"Pontania nivalis";"Pontania nivalis"
"198513A-V1Onival";"Salix glauca";"Salix glauca"
"198514A-V1Oglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"198514A-V1Oglabr";"Salix lanata";"Salix lanata"
"198515A-V1Oretic";"Pontania reticulatae";"Pontania reticulatae"
"198515A-V1Oretic";"Salix reticulata";"Salix reticulata"
"198520A-V1Oglauc";"Salix glauca";"Salix glauca"
"198520A-V1Oglauc";"Pontania glaucae";"Pontania glaucae"
"198521A1-22V1Onival";"Pontania nivalis";"Pontania nivalis"
"198521A1-22V1Onival";"Salix glauca";"Salix glauca"
"198523A-V1Olappo";"Pontania lapponica";"Pontania lapponica"
"198523A-V1Olappo";"Salix lapponum";"Salix lapponum"
"198524A-26V1Olappo";"Salix lapponum";"Salix lapponum"
"198524A-26V1Olappo";"Pontania lapponica";"Pontania lapponica"
"198527A-28Q1Onorve";"Pontania norvegica";"Pontania norvegica"
"198527A-28Q1Onorve";"Salix borealis";"Salix borealis"
"198528R1-V1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"198528R1-V1Olappl";"Salix lapponum";"Salix lapponum"
"198529A-30SOarcti";"Salix phylicifolia";"Salix phylicifolia"
"198529A-30SOarcti";"Pontania arcticornis";"Pontania arcticornis"
"198530A1-S1Ospset";"Salix starkeana";"Salix starkeana"
"198530A1-S1Ospset";"Pontania P. sp.17";"Pontania"
"198530T-ZOdolic";"Salix phylicifolia";"Salix phylicifolia"
"198530T-ZOdolic";"Pontania dolichura";"Pontania dolichura"
"198531A-32V1Ospset";"Salix caprea";"Salix caprea"
"198531A-32V1Ospset";"Pontania P. sp.17";"Pontania"
"198533A-ZOnorve";"Salix borealis";"Salix borealis"
"198533A-ZOnorve";"Pontania norvegica";"Pontania norvegica"
"198533A1-V1Onival";"Salix glauca";"Salix glauca"
"198533A1-V1Onival";"Pontania nivalis";"Pontania nivalis"
"198534A-V1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"198534A-V1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"198535A-SOnival";"Pontania nivalis";"Pontania nivalis"
"198535A-SOnival";"Salix glauca";"Salix glauca"
"198535A1-37Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"198535A1-37Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"198538A-V1Osamol";"Salix lapponum";"Salix lapponum"
"198538A-V1Osamol";"Pontania samolad";"Pontania samolad"
"198539A-ZOnival";"Pontania nivalis";"Pontania nivalis"
"198539A-ZOnival";"Salix glauca";"Salix glauca"
"198539A1-V1Omyrti";"Pontania myrtilloidica";"Pontania myrtilloidica"
"198539A1-V1Omyrti";"Salix myrtilloides";"Salix myrtilloides"
"198540A-V1Emyrti";"Salix myrtilloides";"Salix myrtilloides"
"198540A-V1Emyrti";"Euura myrtilloides";"Euura myrtilloides"
"198541A-QOnorve";"Salix borealis";"Salix borealis"
"198541A-QOnorve";"Pontania norvegica";"Pontania norvegica"
"198541H1-V1Onorve";"Salix borealis";"Salix borealis"
"198541H1-V1Onorve";"Pontania norvegica";"Pontania norvegica"
"198541S-F1Onorve";"Pontania norvegica";"Pontania norvegica"
"198541S-F1Onorve";"Salix borealis";"Salix borealis"
"198542A-V1Onival";"Salix glauca";"Salix glauca"
"198542A-V1Onival";"Pontania nivalis";"Pontania nivalis"
"198543A-I1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198543A-I1Ovaria";"Pontania varia";"Pontania varia"
"198543J1-V1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"198543J1-V1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"198544A-J1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"198544A-J1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"198544K1-V1Osamol";"Salix lapponum";"Salix lapponum"
"198544K1-V1Osamol";"Pontania samolad";"Pontania samolad"
