,,plant_ge,Justicia,Tetramerium,Sesuvium,Catharanthus,Vallesia,Ageratum,Bidens,Darwiniothamnus,Encelia,Jaegeria,Macraea,Scalesia,Scalesia,Scalesia,Scalesia,Scalesia,Sonchus,Avicennia,Cordia,Cordia,Cordia,Tournefortia,Tournefortia,Brassica,Bursera,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Caesalpinia,Cassia,Cassia,Cassia,Parkinsonia,Canna,Carica,Ipomoea,Ipomoea,Ipomoea,Cucurbita,Mormordica,Croton,Euphorbia,Crotalaria,Galactea,Geoffroea,Piscidia,Rhynchosia,Vigna,Scaveola,Persea,Mentzelia,Cuphea,Abelmoschus,Abutilon,Bastardia,Gossypium,Gossypium,Hibiscus,Malvastrum,Sida,Sida,Sida,Sida,Miconia,Acacia,Acacia,Inga,Prosopis,Psidium,Nolana,Bougainvillea,Commicarpus,Cryptocarpus,Mirabilis,Passiflora,Plumbago,Setaria,Polygonum,Portulaca,Chicocca,Coffea,Diodia,Psychotria,Cardiospermum,Bacopa,Galvezia,Galvezia,Castela,Cacabus,Capsicum,Lycopersicon,Lycopersicon,Physalis,Solanum,Waltheria,Clerodendrum,Clerodendrum,Clerodendrum,Lantana,Phyla,Stachtarpheta,Tribulus
,,plant_sp,galapagana,nervosum,portulacastrum,roseus,glabra,conyzoides,pilosa,tenuifolius,hispida,gracilis,laricifolia,affinis,beurii,helleri,pedunculata,sp.,oleraceus,germinans,leucophlyctis,lutea,sp.,psilostachya,rufo-sericea,campestris,graveolens,echios,echios gig.,helleri,megasperma,sp.,sp.,pulcherrima,occidentalis,picta,sp.,aculeata,sp.,papaya,linearifolia,pes-caprae,sp.,pepo,charantia,scouleri,cyathophora,incana,striata,spinosa,carthagenesis,minima,luteola,plumieri,maericana,aspera,racemosa,manihot,depauperatum,viscosa,barbadense,sp.,teliaceus,coromandelianum,acuta,paniculata,rhombifolia,spinosa,robinsoniana,insulae-iacobi,macracantha,edulis,juliflora,guajava,galapagensis,spectabilis,tuberosus,pyriformis,jalapa,foetida,scandens,geniculta,opelousanum,oleracea,alba,arabica,radula,rufipes,galapageium,monniera,leucantha,leucantha pubesc.,galapageia,miersii,frutescens,cheesmanii,cheesmanii minor,pubescens,americanum,ovata,molle glabr.,molle,molle var.,peducularis,sp.,cayanensis,cistoides
Monomorium,floricola,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellistena,galapagensis,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moth (Gelechioidea),,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moth (Pyralidae),,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moth (Tortricidae),,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mythenteles,sp.,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naucles,sp.,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olcella,sp.,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornebius,erraticus,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthoperus,sp.,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
