name,bold,eol,tsn,ncbi
Rhadinopsylla cedestis,NA,52461312,NA,1982772
Rhadinopsylla dahurica,NA,52461264,NA,184255
Rhadinopsylla insolita,NA,52461274,NA,NA
Rhadinopsylla integella,NA,52461275,NA,NA
Rhadinopsylla ioffi,NA,52461276,NA,NA
Rhadinopsylla isacantha,NA,52461277,NA,NA
Rhadinopsylla li,NA,52461308,NA,NA
Rhadinopsylla pentacantha,NA,52461288,NA,NA
Rhadinopsylla pseudodahurica,NA,52461290,NA,NA
Rhadinopsylla rothschildi,NA,52461292,NA,NA
Rhadinopsylla socia,NA,52461317,NA,NA
Rhadinopsylla ucrainica,NA,52461319,NA,NA
Rhombomys opimus,159682,51379942,632995,186474
Rostropsylla daca,NA,52459744,NA,NA
Sciurus anomalus,NA,56385512,NA,425181
Sciurus vulgaris,26232,56385420,930527,55149
Sicista betulina,101367,51379445,609767,489448
Sicista subtilis,90516,46595271,609777,1247384
Sicista tianshanica,NA,55939178,609778,52907
Sorex alpinus,329715,46598888,633778,62902
Sorex araneus,29510,57448183,633779,42254
Sorex arcticus,64737,46598884,710025,62898
Sorex asper,NA,46598890,633780,62897
Sorex caecutiens,10916,46598893,633783,62276
Sorex cinereus,16617,57448179,710034,36803
Sorex daphaenodon,110925,55944255,710041,62272
Sorex isodon,90524,46598910,633794,62281
Sorex minutissimus,191244,46598770,552507,62274
Sorex minutus,29509,50697264,633799,62280
Sorex roboratus,110922,46598914,633805,62288
Sorex tundrensis,110921,46598886,179957,62287
Spermophilopsis leptodactylus,123896,55937335,NA,99871
Spermophilus erythrogenys,123897,57453946,632448,99840
Spermophilus fulvus,123891,55937136,NA,99841
Spermophilus major,123892,56386310,632451,99843
Spermophilus parryii,NA,46593065,NA,9999
Spermophilus pygmaeus,123894,55937141,931088,99855
Spermophilus relictus,123900,51379737,632455,99856
Spermophilus suslicus,123893,55937143,NA,99859
Spermophilus undulatus,NA,46593103,NA,99867
Spermophilus xanthoprymnus,123902,55937145,632458,99869
Stenoponia conspecta,NA,52460862,NA,NA
Stenoponia ivanovi,NA,52460865,NA,NA
Stenoponia montana,NA,52460867,NA,NA
Stenoponia sidimi,NA,52460871,NA,506923
Stenoponia suknevi,NA,52460873,NA,NA
Stenoponia tripectinata,750976,52460877,NA,506924
Stenoponia vlasovi,NA,52460890,NA,NA
Stylodipus telum,142632,51379439,609763,1041413
Synosternus longispinus,NA,52460337,NA,NA
Talpa altaica,NA,46599286,633849,114409
Talpa europaea,26125,46599298,NA,9375
Tamias sibiricus,12271,56386371,931187,64680
Tarsopsylla octodecimdentata,NA,NA,NA,NA
Wagnerina longicauda,NA,52460969,NA,NA
Wagnerina schelkovnikovi,NA,52460970,NA,NA
Wagnerina tuvensis,NA,52460976,NA,NA
Xenopsylla cheopis,127312,51206637,189334,163159
Xenopsylla conformis,750985,NA,NA,1530113
Xenopsylla gerbilli,NA,NA,NA,1844929
Xenopsylla hirtipes,NA,52460385,NA,NA
Xenopsylla magdalinae,NA,52460390,NA,NA
Xenopsylla nubica,646652,52460397,NA,NA
Xenopsylla nuttalli,NA,52460398,NA,NA
Xenopsylla persica,NA,52460401,NA,NA
Xenopsylla skrjabini,716876,52460417,NA,1658344
