"original_name";"name_clear"
"Barypeithes trichopterus";"Barypeithes trichopterus"
"Liophloeus tessulatus";"Liophloeus tessulatus"
"Otiorhynchus ligustici";"Otiorhynchus ligustici"
"Otiorhynchus raucus";"Otiorhynchus raucus"
"Phyllobius betulinus";"Phyllobius betulinus"
"Phyllobius roboretanus";"Phyllobius roboretanus"
"Phyllobius viridicollis";"Phyllobius viridicollis"
"Sitona hispidulus";"Sitona hispidulus"
"Sitona humeralis";"Sitona humeralis"
"Sitona languidus";"Sitona languidus"
"Sitona crinitus";"Sitona crinitus"
"Dermestes laniarius";"Dermestes laniarius"
"Athous bicolor";"Athous bicolor"
"Oedostethus quadripustulatus";"Oedostethus quadripustulatus"
"Margarinotus carbonarius";"Margarinotus carbonarius"
"Margarinotus purpurascens";"Margarinotus purpurascens"
"Helophorus griseus";"Helophorus griseus"
"Helophorus nubilus";"Helophorus nubilus"
"Catops nigriclavis";"Catops nigriclavis"
"Ptomaphagus sericatus";"Ptomaphagus sericatus"
"Mordellistena falsoparvula";"Mordellistena falsoparvula"
"Mordellistena parvula";"Mordellistena parvula"
"Glischrochilus quadrisignatus";"Glischrochilus quadrisignatus"
"Aleochara bipustulata";"Aleochara bipustulata"
"Aleochara curtula";"Aleochara curtula"
"Aloconota gregaria";"Aloconota gregaria"
"Anotylus insecatus";"Anotylus insecatus"
"Anotylus inustus";"Anotylus inustus"
"Anotylus rugosus";"Anotylus rugosus"
"Anotylus sculpturatus";"Anotylus sculpturatus"
"Anotylus tetracarinatus";"Anotylus tetracarinatus"
"Atheta cauda";"Atheta cauda"
"Atheta crassicornis";"Atheta crassicornis"
"Atheta elongatula";"Atheta elongatula"
"Atheta fungicola";"Atheta fungicola"
"Atheta palustris";"Atheta palustris"
"Atheta triangulum";"Atheta triangulum"
"Bledius erraticus";"Bledius erraticus"
"Bolitobius castaneus";"Bolitobius castaneus"
"Callicerus rigidicornis";"Callicerus rigidicornis"
"Dinaraea angustula";"Dinaraea angustula"
"Drusilla canaliculata";"Drusilla canaliculata"
"Gabrius osseticus";"Gabrius osseticus"
"Gyrohypnus angustatus";"Gyrohypnus angustatus"
"Ilyobates bennetti";"Ilyobates bennetti"
"Ischnosoma splendidum";"Ischnosoma splendidum"
"Lathrobium dilutum";"Lathrobium dilutum"
"Lathrobium fulvipenne";"Lathrobium fulvipenne"
"Lathrobium pallidum";"Lathrobium pallidum"
"Liogluta alpestris";"Liogluta alpestris"
"Mycetoporus splendens";"Mycetoporus splendens"
"Omalium caesum";"Omalium caesum"
"Oxypoda brevicornis";"Oxypoda brevicornis"
"Oxypoda longipes";"Oxypoda longipes"
"Paederus littoralis";"Paederus littoralis"
"Zyras limbatus";"Zyras limbatus"
"Philonthus atratus";"Philonthus atratus"
"Philonthus cognatus";"Philonthus cognatus"
"Philonthus concinnus";"Philonthus concinnus"
"Philonthus laminatus";"Philonthus laminatus"
"Philonthus lepidus";"Philonthus lepidus"
"Philonthus rotundicollis";"Philonthus rotundicollis"
"Platystethus nitens";"Platystethus nitens"
"Quedius boops";"Quedius boops"
"Quedius ochripennis";"Quedius ochripennis"
"Scopaeus minutus";"Scopaeus minutus"
"Sepedophilus marshami";"Sepedophilus marshami"
"Conosoma testaceum";"Conosoma testaceum"
"Stenus clavicornis";"Stenus clavicornis"
"Stenus humilis";"Stenus humilis"
"Stenus similis";"Stenus similis"
"Sunius bicolor";"Sunius bicolor"
"Tachinus signatus";"Tachinus signatus"
"Tachyporus chrysomelinus";"Tachyporus chrysomelinus"
"Tachyporus dispar";"Tachyporus dispar"
"Tachyporus hypnorum";"Tachyporus hypnorum"
"Tachyporus nitidulus";"Tachyporus nitidulus"
"Tachyporus obtusus";"Tachyporus obtusus"
"Tachyporus pulchellus";"Tachyporus pulchellus"
"Tachyporus pusillus";"Tachyporus pusillus"
"Tachyporus solutus";"Tachyporus solutus"
"Trogophloeus punctatellus";"Trogophloeus punctatellus"
"Xantholinus dvoraki";"Xantholinus dvoraki"
"Xantholinus linearis";"Xantholinus linearis"
"Xantholinus longiventris";"Xantholinus longiventris"
"Zyras lugens";"Zyras lugens"
"Deltocephalus pulicaris";"Deltocephalus pulicaris"
"Acanthodelphax spinosa";"Acanthodelphax spinosa"
"Ditropsis flavipes";"Ditropsis flavipes"
"Kosswigianella exigua";"Kosswigianella exigua"
"Laodelphax striatella";"Laodelphax striatella"
"Halticus apterus";"Halticus apterus"
"Haplothrips aculeatus";"Haplothrips aculeatus"
"Frankliniella intonsa";"Frankliniella intonsa"
"Frankliniella tenuicornis";"Frankliniella tenuicornis"
"Limothrips cerealium";"Limothrips cerealium"
"Limothrips denticornis";"Limothrips denticornis"
"Odontothrips loti";"Odontothrips loti"
"Thrips sp1-angusticeps";"Thrips angusticeps"
"Agallia brachyptera";"Agallia brachyptera"
"Anaceratagallia ribauti";"Anaceratagallia ribauti"
"Anoscopus flavostriatus";"Anoscopus flavostriatus"
"Arthaldeus pascuellus";"Arthaldeus pascuellus"
"Chlorita paolii";"Chlorita paolii"
"Cicadella viridis";"Cicadella viridis"
"Emelyanoviana mollicula";"Emelyanoviana mollicula"
"Empoasca decipiens";"Empoasca decipiens"
"Errastunus ocellaris";"Errastunus ocellaris"
"Eupteryx calcarata";"Eupteryx calcarata"
"Eupteryx notata";"Eupteryx notata"
"Eupteryx vittata";"Eupteryx vittata"
"Macrosteles cristatus";"Macrosteles cristatus"
"Macrosteles laevis";"Macrosteles laevis"
"Macrosteles maculosus";"Macrosteles maculosus"
"Macrosteles sexnotatus";"Macrosteles sexnotatus"
"Megophthalmus scanicus";"Megophthalmus scanicus"
"Ophiola decumana";"Ophiola decumana"
"Psammotettix alienus";"Psammotettix alienus"
"Psammotettix confinis";"Psammotettix confinis"
"Psammotettix helvolus";"Psammotettix helvolus"
"Zyginidia scutellaris";"Zyginidia scutellaris"
"Dicranotropis hamata";"Dicranotropis hamata"
"Javesella pellucida";"Javesella pellucida"
"Ribautodelphax albostriata";"Ribautodelphax albostriata"
"Ribautodelphax angulosa";"Ribautodelphax angulosa"
"Chlamydatus pulicarius";"Chlamydatus pulicarius"
"Anoscopus serratulae";"Anoscopus serratulae"
"Cicadula persimilis";"Cicadula persimilis"
"Doratura stylata";"Doratura stylata"
"Elymana sulphurella";"Elymana sulphurella"
"Empoasca pteridis";"Empoasca pteridis"
"Eupteryx atropunctata";"Eupteryx atropunctata"
"Euscelis incisus";"Euscelis incisus"
"Megadelphax sordidula";"Megadelphax sordidula"
"Neoaliturus fenestratus";"Neoaliturus fenestratus"
"Verdanus abdominalis";"Verdanus abdominalis"
"Nysius ericae";"Nysius ericae"
"Nysius senecionis";"Nysius senecionis"
"Amblytylus nasutus";"Amblytylus nasutus"
"Dicyphus globulifer";"Dicyphus globulifer"
"Melanotrichus flavosarsus";"Melanotrichus flavosarsus"
"Orthocephalus saltator";"Orthocephalus saltator"
"Orthops kalmii";"Orthops kalmii"
"Pachytomella arallela";"Pachytomella arallela"
"Polymerus nigrita";"Polymerus nigrita"
"Phyllotreta vittula";"Phyllotreta vittula"
"Phyllotreta undulata";"Phyllotreta undulata"
"Neophilaenus campestris";"Neophilaenus campestris"
"Berytinus clavipes";"Berytinus clavipes"
"Philaenus spumarius";"Philaenus spumarius"
"Aphrodes bicincta";"Aphrodes bicincta"
"Aphrodes makarovi";"Aphrodes makarovi"
"Athysanus argentarius";"Athysanus argentarius"
"Conosanus obsoletus";"Conosanus obsoletus"
"Graphocraerus ventralis";"Graphocraerus ventralis"
"Mocydia crocea";"Mocydia crocea"
"Coriomeris denticulatus";"Coriomeris denticulatus"
"Stenocranus minutus";"Stenocranus minutus"
"Gargara genistae";"Gargara genistae"
"Adelphocoris lineolatus";"Adelphocoris lineolatus"
"Adelphocoris quadripunctatus";"Adelphocoris quadripunctatus"
"Lygus gemellatus";"Lygus gemellatus"
"Lygus pratensis";"Lygus pratensis"
